Version;N;BS;T;Exec time;GFlops
inc1_o78;4096;32;56;0,27;512,1551
inc1_o78;4096;32;56;0,26;520,3499
inc1_o78;4096;32;56;0,26;519,2058
inc1_o78;4096;64;56;0,20;683,0856
inc1_o78;4096;64;56;0,20;677,5897
inc1_o78;4096;64;56;0,20;689,2553
inc1_o78;4096;128;56;0,22;632,0544
inc1_o78;4096;128;56;0,22;627,0512
inc1_o78;4096;128;56;0,22;628,3184
inc1_o78;4096;32;112;0,41;336,3136
inc1_o78;4096;32;112;0,42;326,0077
inc1_o78;4096;32;112;0,41;332,6644
inc1_o78;4096;64;112;0,27;501,9280
inc1_o78;4096;64;112;0,27;502,8680
inc1_o78;4096;64;112;0,27;500,9348
inc1_o78;4096;128;112;0,25;551,8462
inc1_o78;4096;128;112;0,25;557,7629
inc1_o78;4096;128;112;0,25;554,2876
inc1_o78;8192;32;56;1,71;644,2775
inc1_o78;8192;32;56;1,70;647,2463
inc1_o78;8192;32;56;1,70;645,8992
inc1_o78;8192;64;56;1,21;907,5780
inc1_o78;8192;64;56;1,21;909,0057
inc1_o78;8192;64;56;1,21;908,9102
inc1_o78;8192;128;56;1,26;870,7169
inc1_o78;8192;128;56;1,26;870,5996
inc1_o78;8192;128;56;1,27;867,0638
inc1_o78;8192;32;112;1,91;576,8581
inc1_o78;8192;32;112;1,91;576,2766
inc1_o78;8192;32;112;1,91;576,0684
inc1_o78;8192;64;112;1,38;797,7408
inc1_o78;8192;64;112;1,39;793,1554
inc1_o78;8192;64;112;1,39;793,5568
inc1_o78;8192;128;112;1,34;821,3505
inc1_o78;8192;128;112;1,34;821,3874
inc1_o78;8192;128;112;1,34;820,4282
inc1_o78;16384;32;56;12,05;729,9069
inc1_o78;16384;32;56;12,05;729,7943
inc1_o78;16384;32;56;12,07;728,8477
inc1_o78;16384;64;56;8,61;1021,9756
inc1_o78;16384;64;56;8,61;1021,1477
inc1_o78;16384;64;56;8,61;1021,2363
inc1_o78;16384;128;56;9,43;933,0493
inc1_o78;16384;128;56;9,43;932,8956
inc1_o78;16384;128;56;9,42;933,6490
inc1_o78;16384;32;112;11,79;746,1692
inc1_o78;16384;32;112;11,79;746,2733
inc1_o78;16384;32;112;11,82;744,2420
inc1_o78;16384;64;112;9,42;933,7477
inc1_o78;16384;64;112;9,42;934,0129
inc1_o78;16384;64;112;9,42;934,1842
inc1_o78;16384;128;112;9,58;918,4593
inc1_o78;16384;128;112;9,60;916,5833
inc1_o78;16384;128;112;9,58;918,0574
opt_7_8;4096;32;56;0,50;274,9213
opt_7_8;4096;32;56;0,49;278,7593
opt_7_8;4096;32;56;0,49;278,4821
opt_7_8;4096;64;56;0,35;389,3995
opt_7_8;4096;64;56;0,35;387,8174
opt_7_8;4096;64;56;0,35;388,5334
opt_7_8;4096;128;56;0,35;389,9606
opt_7_8;4096;128;56;0,35;389,9840
opt_7_8;4096;128;56;0,35;388,3805
opt_7_8;4096;32;112;0,60;227,6308
opt_7_8;4096;32;112;0,61;226,2980
opt_7_8;4096;32;112;0,60;227,6131
opt_7_8;4096;64;112;0,43;322,5464
opt_7_8;4096;64;112;0,42;324,0705
opt_7_8;4096;64;112;0,42;324,2073
opt_7_8;4096;128;112;0,37;371,1908
opt_7_8;4096;128;112;0,37;369,2194
opt_7_8;4096;128;112;0,37;368,3547
opt_7_8;8192;32;56;3,26;337,3593
opt_7_8;8192;32;56;3,26;337,1857
opt_7_8;8192;32;56;3,26;337,7605
opt_7_8;8192;64;56;2,22;494,7758
opt_7_8;8192;64;56;2,22;494,8171
opt_7_8;8192;64;56;2,22;495,2218
opt_7_8;8192;128;56;2,03;542,7256
opt_7_8;8192;128;56;2,02;544,0175
opt_7_8;8192;128;56;2,02;544,9081
opt_7_8;8192;32;112;3,37;326,3246
opt_7_8;8192;32;112;3,36;327,1663
opt_7_8;8192;32;112;3,36;326,8400
opt_7_8;8192;64;112;2,42;454,6228
opt_7_8;8192;64;112;2,41;455,3075
opt_7_8;8192;64;112;2,42;454,3604
opt_7_8;8192;128;112;2,01;547,2138
opt_7_8;8192;128;112;2,02;544,9475
opt_7_8;8192;128;112;2,02;544,1316
opt_7_8;16384;32;56;19,58;449,3503
opt_7_8;16384;32;56;19,62;448,3784
opt_7_8;16384;32;56;19,67;447,1488
opt_7_8;16384;64;56;15,06;584,1728
opt_7_8;16384;64;56;15,04;584,6920
opt_7_8;16384;64;56;15,22;577,8360
opt_7_8;16384;128;56;14,54;604,8600
opt_7_8;16384;128;56;14,72;597,7426
opt_7_8;16384;128;56;14,53;605,5352
opt_7_8;16384;32;112;20,33;432,6631
opt_7_8;16384;32;112;20,34;432,4413
opt_7_8;16384;32;112;19,84;443,4391
opt_7_8;16384;64;112;16,48;533,9027
opt_7_8;16384;64;112;16,69;526,9081
opt_7_8;16384;64;112;16,41;536,1065
opt_7_8;16384;128;112;14,04;626,5509
opt_7_8;16384;128;112;14,06;625,4624
opt_7_8;16384;128;112;14,27;616,5857

